"name","Antigen","Fluorophore","Type","Detector","Negative","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"DTR_2023_ILT_00-Reference Group-DR_CD3 Spark Blue 550 (Beads).1237109.fcs","CD3","Spark Blue 550","Beads","B3","BeadUnstained",-0.009,-0.04,-0.07,-0.059,0.007,-0.076,0.539,0.596,0.803,0.969,0.545,0.384,0.317,0.292,0.171,0.118,-0.081,-0.104,-0.169,-0.129,0.096,0.154,-0.071,0.112,0.302,0.302,0.6,0.726,0.901,0.985,0.897,0.689,0.577,0.572,0.523,0.604,0.66,0.572,0.676,0.753,0.742,0.848,0.989,0.986,0.982,1,0.631,0.78,0.617,0.398,0.29,0.337,0.197,0.161,0.112,-0.017,-0.021,-0.066,-0.047,0.025,0.018,-0.014,-0.074,0.009
"DTR_2023_ILT_00-Reference Group-DR_CD38 APC-Fire 810 (Beads).1237110.fcs","CD38","APC-Fire 810","Beads","R8","BeadUnstained",-0.025,-0.057,-0.032,-0.022,0.021,-0.04,0.011,-0.012,-0.102,0.047,0.696,0.503,0.494,0.689,0.97,1,-0.046,-0.053,-0.057,-0.037,-0.068,-0.059,-0.106,-0.055,-0.051,0.13,0.517,0.691,0.756,0.863,0.886,0.862,-0.065,-0.012,-0.06,0.011,0.007,0.017,0.308,0.26,0.229,0.175,0.167,0.27,0.744,0.796,0.005,0.132,0.485,0.718,0.768,0.972,0.837,0.887,0.905,0.904,0.743,0.836,0.727,0.845,0.823,0.863,0.88,0.95
"DTR_2023_ILT_00-Reference Group-DR_CD4 BUV805 (Beads).1237111.fcs","CD4","BUV805","Beads","UV16","BeadUnstained",0.531,0.704,0.586,0.555,0.534,0.47,0.366,0.314,0.293,0.238,0.073,0.072,0.148,0.483,0.999,1,-0.002,0.035,-0.007,-0.052,-0.069,-0.081,-0.095,-0.049,-0.076,-0.047,-0.032,-0.041,-0.006,0.165,0.57,0.66,-0.056,-0.052,-0.032,0.006,0.027,0.025,-0.009,-0.023,0.005,-0.01,0.011,0.121,0.4,0.52,-0.017,0.043,0.036,0.012,0.041,0.03,0.034,0.118,0.445,0.513,-0.043,-0.037,0.007,0.053,0.211,0.482,0.759,0.847
"DTR_2023_ILT_00-Reference Group-DR_CD45RA BV510 (Beads).1237112.fcs","CD45RA","BV510","Beads","V7","BeadUnstained",0,0,0,0.001,0.01,0.068,0.389,0.338,0.279,0.101,0.037,0.016,0.011,0.009,0.006,0.004,0.001,0.025,0.113,0.258,0.699,0.727,1,0.671,0.425,0.413,0.154,0.068,0.049,0.034,0.023,0.008,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD56 BV605 (Beads).1237113.fcs","CD56","BV605","Beads","V10","BeadUnstained",0,0,0.001,0.001,0.001,0.001,0,0,0.08,0.203,0.104,0.043,0.033,0.03,0.017,0.011,0.053,0.055,0.05,0.021,0.008,0.005,0.004,0.17,0.776,1,0.512,0.204,0.159,0.111,0.07,0.031,0,0,0,0.005,0.04,0.043,0.03,0.019,0.015,0.009,0.005,0.004,0.002,0.002,0.067,0.362,0.405,0.254,0.156,0.103,0.123,0.05,0.031,0.017,0.001,0.001,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD62L BUV395 (Beads).1237114.fcs","CD62L","BUV395","Beads","UV2","BeadUnstained",0.254,1,0.498,0.361,0.327,0.318,0.178,0.055,0.019,0.003,0.001,0.001,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD69 BUV563 (Beads).1237115.fcs","CD69","BUV563","Beads","UV9","BeadUnstained",0.005,0.028,0.023,0.019,0.019,0.02,0.017,0.328,1,0.263,0.061,0.025,0.014,0.01,0.005,0.003,0,0,0,0,0,0,0.027,0.072,0.034,0.032,0.007,0.002,0.001,0.001,0.001,0,0,0.004,0.11,0.218,0.118,0.074,0.024,0.014,0.011,0.004,0.002,0.002,0.001,0.001,0.485,0.244,0.145,0.043,0.026,0.018,0.016,0.004,0.002,0.001,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD7 BV711 (Beads).1237116.fcs","CD7","BV711","Beads","V13","BeadUnstained",0.003,-0.038,0.375,0.223,0.282,0.209,0.147,0.025,-0.057,-0.019,0.428,0.52,0.574,0.563,0.569,0.572,0.46,0.432,0.434,0.396,0.305,0.316,0.253,0.19,0.082,0.089,0.37,0.488,1,0.799,0.721,0.57,-0.059,-0.049,-0.054,-0.042,-0.037,-0.032,0.034,0.368,0.401,0.408,0.528,0.482,0.5,0.488,-0.072,-0.048,-0.041,0.129,0.461,0.614,0.549,0.532,0.525,0.501,0.291,0.456,0.529,0.607,0.539,0.556,0.559,0.579
"DTR_2023_ILT_00-Reference Group-DR_CD8 BUV496 (Beads).1237117.fcs","CD8","BUV496","Beads","UV7","BeadUnstained",0.008,0.04,0.032,0.029,0.038,0.189,1,0.532,0.263,0.064,0.016,0.005,0.003,0.003,0.002,0.001,0,0.001,0.011,0.071,0.225,0.17,0.177,0.072,0.038,0.031,0.007,0.002,0.001,0.001,0.001,0,0.068,0.044,0.034,0.008,0.004,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CXCR3 BUV737 (Beads).1237118.fcs","CXCR3","BUV737","Beads","UV14","BeadUnstained",0.004,0.022,0.018,0.016,0.015,0.017,0.011,0.003,0.001,0,0.001,0.033,0.421,1,0.509,0.393,0,0,0,0,0,0,0,0,0,0,0,0.004,0.094,0.168,0.091,0.047,0,0,0,0,0,0,0,0.001,0.016,0.115,0.22,0.179,0.097,0.12,0,0,0,0,0,0.002,0.045,0.05,0.027,0.016,0,0.003,0.045,0.259,0.549,0.353,0.271,0.159
"DTR_2023_ILT_00-Reference Group-DR_Dump_CD14 Pacific Blue (Beads).1237119.fcs","Dump_CD14","Pacific Blue","Beads","V3","BeadUnstained",0.024,0.022,0.658,1,0.908,0.844,0.855,0.725,0.738,0.344,0.102,0.074,0.016,0.029,-0.008,-0.017,0.91,0.851,0.818,0.72,0.559,0.555,0.462,0.541,0.562,0.541,0.712,0.521,0.43,0.386,0.267,0.169,0.086,0.059,0.08,0.034,0.063,0.046,0.046,0.002,0.02,0.012,0.032,0.055,0.011,0.032,0.185,-0.018,0.01,0.036,0.04,0.039,0.006,0.008,0.01,-0.006,0.052,0.026,0.045,0.035,0.054,0,-0.003,-0.024
"DTR_2023_ILT_00-Reference Group-DR_IFNg BV750 (Beads).1237121.fcs","IFNg","BV750","Beads","V14","BeadUnstained",0,0,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.025,0.198,0.163,0.094,0.05,0.052,0.048,0.02,0.009,0.006,0.005,0.003,0.002,0.002,0.001,0.007,0.198,1,0.893,0.346,0,0,0,0,0,0,0,0,0,0.005,0.025,0.045,0.029,0.028,0,0,0,0,0,0,0.005,0.021,0.019,0.008,0,0,0.001,0.013,0.061,0.09,0.077,0.035
"DTR_2023_ILT_00-Reference Group-DR_NKG2D PE (Beads).1237122.fcs","NKG2D","PE","Beads","YG1","BeadUnstained",0,0,0,0,0,0,0,0.001,0.054,0.013,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,0.003,0.148,0.057,0.05,0.012,0.005,0.003,0.001,0.001,0,0,0.001,0.014,0.56,0.258,0.15,0.052,0.031,0.028,0.012,0.006,0.004,0.003,0.002,1,0.434,0.235,0.074,0.044,0.033,0.03,0.009,0.006,0.002,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_PD1 PE-Vio770 (Beads).1237123.fcs","PD1","PE-Vio 770","Beads","YG9","BeadUnstained",-0.027,-0.026,-0.039,-0.034,-0.054,-0.058,-0.072,-0.006,0.228,0.099,-0.002,0.04,0.155,0.805,0.904,0.885,-0.043,-0.07,-0.082,-0.089,-0.102,-0.1,-0.022,0.352,0.299,0.258,0.054,0.037,0.486,0.796,0.859,0.794,0.375,0.219,0.43,0.623,0.607,0.51,0.475,0.402,0.439,0.591,0.782,0.758,0.791,0.848,0.758,0.712,0.642,0.589,0.562,0.652,0.813,0.866,1,0.834,-0.004,0.05,0.005,0.239,0.689,0.804,0.839,0.871
"DTR_2023_ILT_00-Reference Group-DR_TNFa PE-Dazzle594 (Beads).1237124.fcs","TNFa","PE-Dazzle 594","Beads","YG3","BeadUnstained",-0.019,-0.022,-0.004,0.001,-0.002,-0.017,-0.012,0.089,1,0.691,0.784,0.718,0.734,0.748,0.664,0.41,-0.02,0.004,-0.014,-0.03,-0.021,-0.02,0.102,0.486,0.537,0.596,0.596,0.624,0.694,0.733,0.772,0.642,0.374,0.232,0.528,0.607,0.652,0.584,0.626,0.634,0.641,0.656,0.743,0.71,0.685,0.729,0.849,0.7,0.71,0.691,0.72,0.894,0.813,0.781,0.794,0.774,0.275,0.342,0.28,0.186,0.131,0.068,0.065,0.026
"DTR_2023_ILT_00-Reference Group-DR_Va24Ja18 FITC (Beads).1237125.fcs","Va24Ja18","FITC","Beads","B2","BeadUnstained",-0.08,-0.262,-0.252,-0.302,-0.33,-0.577,0.145,0.392,0.233,0.773,0.152,0.211,0.005,0.095,0.037,0.064,-0.435,-0.722,-1.082,-1.068,-0.796,-0.696,-1.421,-0.586,-0.299,-0.323,0.195,0.131,0.127,0.125,0.053,0.035,0.38,0.366,0.014,0.415,0.366,0.459,0.517,0.801,0.738,0.943,1,0.93,0.508,0.598,-0.845,-0.492,-0.305,-0.326,-0.068,0.007,-0.118,-0.025,-0.022,-0.077,-0.268,-0.22,-0.234,-0.281,-0.138,-0.051,-0.18,-0.093
"DTR_2023_ILT_00-Reference Group-DR_Va7.2 Alexa Fluor 647 (Beads).1237126.fcs","Va7.2","Alexa Fluor 647","Beads","R2","BeadUnstained",-0.054,-0.037,-0.05,0.013,-0.022,-0.022,-0.055,-0.063,-0.108,-0.016,0.825,0.835,0.755,0.828,0.575,0.381,-0.037,-0.064,-0.105,-0.119,-0.178,-0.142,-0.21,-0.154,-0.097,-0.101,0.537,0.661,0.764,0.745,0.572,0.318,-0.028,-0.016,-0.035,-0.03,-0.013,0.012,0.58,0.632,0.653,0.68,0.737,0.622,0.385,0.388,0.069,0.08,0.192,0.664,0.751,1,0.814,0.866,0.886,0.871,0.743,0.799,0.773,0.893,0.832,0.889,0.898,0.876
"DTR_2023_ILT_00-Reference Group-DR_VD2 BUV661 (Beads).1237127.fcs","VD2","BUV661","Beads","UV11","BeadUnstained",0.004,0.023,0.019,0.016,0.016,0.018,0.012,0.004,0.002,0.046,1,0.464,0.358,0.297,0.161,0.096,0,0,0,0,0,0,0,0,0,0.017,0.295,0.132,0.101,0.064,0.037,0.014,0,0,0,0,0,0.001,0.044,0.031,0.025,0.014,0.009,0.006,0.003,0.003,0,0.001,0.015,0.529,0.366,0.251,0.289,0.106,0.061,0.03,0.811,0.842,0.634,0.453,0.325,0.179,0.149,0.068
