"alias","pop","parent","dims","gating_method","gating_args","collapseDataForGating","groupBy","preprocessing_method","preprocessing_args"
"singlets","+","root","FSC-A,FSC-H","polygon_gate","matrix(c(754852.345149757,3554453.61121737,3009593.83359514,268290.307915978,760246.647077026,193021.713780294,2419425.64844106,3191696.85089686,587830.242883733,203000.495531105),ncol=2)","FALSE","NA","NA","NA"
"nonRBCs","+","/singlets","SSC-A,SSC-B-A","polygon_gate","matrix(c(235954.574162265,759343.31083971,3935455.04239084,3881660.80071703,229376.058790927,473182.516691213,179779.586184025,2338547.76662243,3484473.95389378,507711.801515366),ncol=2)","FALSE","NA","NA","NA"
"scatter","+","/singlets/nonRBCs","FSC-A,SSC-A","polygon_gate","matrix(c(909633.206860136,886050.660509006,1014810.67010443,1546660.56833371,1893192.63358441,1939936.82562786,1624970.44617776,1198126.09824481,919558.178081003,972070.985491785,714977.27846601,504210.368545435,521071.567414176,955351.830452657,1562705.95966304,1648118.85255133,1328825.6263647,977454.548072755),ncol=2)","FALSE","NA","NA","NA"
